label,ax,ay,az,gx,gy,gz
0,8424,-9976,10364,-1682,1346,2729
0,9352,-9800,9776,-637,156,-749
0,8376,-10440,9528,-1106,861,1292
0,8832,-10148,10612,427,511,-927
0,8304,-10292,9916,-1380,773,1197
0,8128,-10020,10040,290,-63,1357
0,8072,-10920,9692,-1237,778,1932
0,8544,-10340,9404,-2765,3937,-22
0,6496,-12004,9888,-1858,859,-2451
0,8288,-10792,9412,385,-1545,486
0,7704,-11804,9784,492,-2522,2956
0,7236,-11116,9984,-794,1374,3879
0,6240,-12764,10272,-3160,5218,435
0,5680,-12716,9212,-2892,944,-1943
0,6548,-12616,9320,1406,130,-6282
0,7484,-11596,9308,3519,-3256,-4310
0,9184,-9996,10016,6871,-8161,-5163
0,10940,-8888,8984,4826,-11413,1467
0,12676,-7456,7332,7389,-20690,3866
0,13124,-9316,4056,3364,-14605,7861
0,12556,-9624,4216,1346,-5992,6614
0,14236,-11268,1004,-1710,1530,2600
0,12292,-10904,2248,-4376,8013,1538
0,10016,-12932,3180,-1831,25793,-1638
0,8036,-10672,9844,1254,9898,-1758
0,9560,-10292,9144,2584,567,1126
0,7440,-10944,8668,593,-7723,4636
0,8624,-10964,8968,-115,-203,2690
0,8100,-12352,6804,-1095,3703,1413
0,8756,-11396,8224,1251,1072,670
0,9016,-12392,7692,117,-335,224
0,7468,-11872,8352,-196,1370,1354
0,8768,-12848,7944,-67,1198,1003
0,6116,-11880,8808,-1331,4003,2997
0,7472,-12864,8444,-908,3512,3890
0,4536,-13728,8460,-2626,3939,5194
0,4380,-13860,7672,-1241,2218,4399
0,956,-14304,8660,-2648,3064,3642
0,1408,-14992,8112,-761,2190,824
0,2332,-14608,7524,-3822,-2031,-949
0,3160,-13796,7156,-2453,708,2398
0,1108,-14696,5528,-4927,424,4848
0,-560,-15128,5796,-5213,2698,3304
0,-232,-16328,3308,-2661,89,1123
0,-2076,-15440,4420,-157,1752,175
0,500,-17256,3916,2413,-926,-8533
0,2208,-14140,5540,3479,3503,-392
0,3020,-15444,5188,332,-1421,2264
0,-1184,-15420,6916,-2875,2190,5080
0,184,-16388,4524,-1734,2278,2245
0,-2624,-14864,5128,-2329,-1092,841
0,-24,-16116,3148,2367,85,782
0,-2640,-16008,6960,754,2753,2376
0,-1112,-14976,4124,2591,3663,2364
0,-3084,-15168,5356,835,-381,246
0,-2960,-14788,6516,1396,1820,609
0,-2564,-15496,5392,-252,-385,-2495
0,-2528,-14788,6280,864,1632,-1413
0,-244,-15536,5812,-143,-2134,3157
